d,s,r,alg,score,iter,LLM,time,extra,missing,reverse,shd,norm_shd,nnz,fdr,tpr,fpr,precision,recall,F1,gscore,exist_prior,forb_prior,uncertain_query,correct_query,wrong_query,exist_prior_wrong,forb_prior_wrong,ancs_prior,edge,correct,incorrect,normal,exist,forb
cancer,1000,1,HC,bic,1,both,0.0171,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,1000,1,softHC,bic,1,both,0.0064,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,1000,1,hardMINOBSx,bic,1,both,0.2199,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,1000,1,softMINOBSx,bic,1,both,0.2639,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,0,0,0,2,0,0,0,0,2,2,0,2,0,0
cancer,1000,2,CaMML,mml,1,without,6.399,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,1000,2,CaMML,mml,2,with,2.1285,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,1,0,0,6,0,0,0,0,3,3,0,2,1,0
cancer,1000,2,HC,bdeu,1,both,0.0049,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,2,softHC,bdeu,1,both,0.0061,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,2,hardMINOBSx,bdeu,1,without,0.2029,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,1000,2,hardMINOBSx,bdeu,2,with,0.2271,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,1,0,0,6,0,0,0,0,3,3,0,2,1,0
cancer,1000,2,softMINOBSx,bdeu,1,without,0.3783,0,1,1,2,0.5,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,0.25,1,0,0,3,0,0,0,0,3,2,1,3,0,0
cancer,1000,2,softMINOBSx,bdeu,2,with,0.2317,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,1,0,0,6,0,0,0,0,3,3,0,2,1,0
cancer,1000,2,HC,bic,1,both,0.0049,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,2,softHC,bic,1,both,0.018,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,2,hardMINOBSx,bic,1,both,0.1356,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,2,softMINOBSx,bic,1,both,0.1861,0,1,0,1,0.25,3,0.0,0.75,0.0,1.0,0.75,0.8571,0.75,0,0,0,3,0,0,0,0,3,3,0,3,0,0
cancer,1000,3,CaMML,mml,1,without,6.3349,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,2,0,0,0,0,2,1,1,2,0,0
cancer,1000,3,CaMML,mml,2,with,2.1259,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,1,0,0,4,0,0,0,0,2,2,0,1,1,0
cancer,1000,3,HC,bdeu,1,without,0.0311,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,2,0,0,0,0,2,1,1,2,0,0
cancer,1000,3,HC,bdeu,2,with,0.0099,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,3,1,0,0,0,2,1,1,1,1,0
cancer,1000,3,softHC,bdeu,1,without,0.0102,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,2,0,0,0,0,2,1,1,2,0,0
cancer,1000,3,softHC,bdeu,2,with,0.0048,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,3,1,0,0,0,2,1,1,1,1,0
cancer,1000,3,hardMINOBSx,bdeu,1,both,0.2778,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,0,0,0,1,1,0,0,0,2,1,1,2,0,0
cancer,1000,3,softMINOBSx,bdeu,1,both,0.1558,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,0,0,0,1,1,0,0,0,2,1,1,2,0,0
cancer,1000,3,HC,bic,1,without,0.0072,0,2,2,4,1.0,2,1.0,0.0,0.3333,0.0,0.0,,0.0,1,0,0,1,1,0,0,0,2,0,2,2,0,0
cancer,1000,3,HC,bic,2,with,0.0049,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,1,0,0,3,1,0,0,0,2,2,0,1,1,0
cancer,1000,3,softHC,bic,1,without,0.0289,0,2,2,4,1.0,2,1.0,0.0,0.3333,0.0,0.0,,0.0,1,0,0,1,1,0,0,0,2,0,2,2,0,0
cancer,1000,3,softHC,bic,2,with,0.0056,0,2,0,2,0.5,2,0.0,0.5,0.0,1.0,0.5,0.6667,0.5,1,0,0,3,1,0,0,0,2,2,0,1,1,0
cancer,1000,3,hardMINOBSx,bic,1,without,0.2375,0,2,1,3,0.75,2,0.5,0.25,0.1667,0.5,0.25,0.3333,0.0,1,0,0,2,0,0,0,0,2,1,1,2,0,0
